Date,ws,sr,rh,temp,so2,o3,no2,pm10
21/12/2016,1.5,72.88,53.54,13.68,34.19,23.68,64.54,320.71
22/12/2016,0.75,70.69,59.79,12.15,39.85,18.26,79.76,387.63
23/12/2016,0.5,59.18,70.89,11.61,29.89,24.9,113.62,638.62
24/12/2016,0.95,60.78,71.89,12.06,25.98,24.17,100.9,584.11
25/12/2016,1.07,14.98,79.86,10.47,24.33,4.46,68.27,333.7
26/12/2016,0.79,70.11,69.83,11.94,24.42,9.65,69.64,247.94
27/12/2016,0.68,48.98,66.59,10.89,26.38,14.56,85.15,351.36
28/12/2016,0.64,68.23,62.22,11.88,27.61,12.92,92.2,430.9
29/12/2016,1.32,62.13,74.53,10.62,22.47,6.4,69.71,440.96
30/12/2016,1.47,52.59,77.99,9.46,25.69,16.67,55.8,307.27
31/12/2016,1.04,53.81,78.02,10.26,25.79,15.29,64.7,311.38
